Year	Wind	Heat
1	0	0.046666667
2	0.026666667	0.086666667
3	0	0.04
4	0	0.026666667
5	0.006666667	0.086666667
6	0.06	0.026666667
7	0.046666667	0.013333333
8	0.146666667	0.046666667
9	0.013333333	0.06
10	0.06	0.02
11	0.12	0.06
12	0.1	0.073333333
13	0.086666667	0.113333333
14	0.2	0.146666667
15	0.08	0.126666667
16	0.1	0.04
17	0.1	0.193333333
18	0.06	0.08
19	0.146666667	0.146666667
20	0.046666667	0.113333333
21	0.033333333	0.213333333
22	0.066666667	0.1
23	0.113333333	0.186666667
24	0.1	0.086666667
25	0.12	0.046666667
26	0.26	0.06
27	0.186666667	0.066666667
28	0.08	0.173333333
29	0.106666667	0.106666667
30	0.22	0.066666667
31	0.24	0.113333333
32	0.146666667	0.146666667
33	0.08	0.113333333
34	0.106666667	0.16
35	0.166666667	0.12
36	0.16	0.22
37	0.16	0.086666667
38	0.093333333	0.166666667
39	0.166666667	0.066666667
40	0.14	0.193333333
41	0.153333333	0.106666667
42	0.066666667	0.12
43	0.06	0.086666667
44	0.126666667	0.173333333
45	0.213333333	0.18
46	0.106666667	0.18
47	0.146666667	0.086666667
48	0.106666667	0.12
49	0.233333333	0.14
50	0.38	0.126666667
51	0.213333333	0.186666667
52	0.24	0.06
53	0.16	0.1
54	0.213333333	0.213333333
55	0.273333333	0.186666667
56	0.24	0.153333333
57	0.34	0.126666667
58	0.313333333	0.193333333
59	0.333333333	0.133333333
60	0.2	0.173333333
61	0.26	0.106666667
62	0.246666667	0.073333333
63	0.246666667	0.173333333
64	0.413333333	0.12
65	0.34	0.18
66	0.333333333	0.173333333
67	0.26	0.18
68	0.286666667	0.22
69	0.353333333	0.186666667
70	0.36	0.133333333
71	0.22	0.326666667
72	0.333333333	0.18
73	0.3	0.153333333
74	0.186666667	0.12
75	0.34	0.16
76	0.373333333	0.093333333
77	0.153333333	0.14
78	0.353333333	0.206666667
79	0.32	0.18
80	0.266666667	0.253333333
81	0.306666667	0.226666667
82	0.306666667	0.106666667
83	0.46	0.2
84	0.24	0.293333333
85	0.286666667	0.186666667
86	0.306666667	0.193333333
87	0.326666667	0.22
88	0.366666667	0.086666667
89	0.36	0.2
90	0.273333333	0.26
